filename,level,part_type,item_number,mfg_part_number,item_description,type,conductor,number_pairs,insulation,jacket,shielding,wire_gauge,diameter,putup,color,stranding,kevlar_core,pitch
10251-0042_F_MfgBOMReport.xls,0,Assembly,10251-0042,F        C64961,HIGH VOLT. WIRE ASSY KIT,,,,,,A,,,,,,No,
10303-1010_-_MfgBOMReport.xls,0,Mechanical Part,10303-1010,0,"STRAP, GROUND",,,,,,A,,,,,,No,
10488-1176-01_C_MfgBOMReport.xls,0,Cable and Wire,10488-1176-01,C        C03552,"CABLE ASSY, STRANDED PHOSPHOR BRONZE",,,,,,A,,,,,,No,
10511-1357-01_B_MfgBOMReport.xls,0,Mechanical Part,10511-1357-01,B        C31754,"FLEX, STIFFENER",,,,,,A,,,,,,No,
10511-9103-01_A_MfgBOMReport.xls,0,Cable and Wire,10511-9103-01,A        C54087,"CABLE, SHIELDED, 6 COND 30 AWG W/KEVLAR CORE",multi,6,,,,A,6-30awg,,,,,YES,
10570-0711_B_MfgBOMReport.xls,0,Cable and Wire,10570-0711,B        DL000173,"CABLE ASSY, D.C. PWR",,,,,,A,,,,,,No,
12011-0205_-_MfgBOMReport.xls,0,Cable and Wire,12011-0205,0,CABLE HANDHELD,,,,,,A,,,,,,No,
12011-1302-02_2_MfgBOMReport.xls,0,Cable and Wire,12011-1302-02,2        C08474,CABLE 4 COND 24 AWG BRAID & FOIL SHLD TPR,,,,,,A,,,,,,No,
12019-0705-01_-_MfgBOMReport.xls,0,Cable and Wire,12019-0705-01,0,"CABLE, 6 CONDUCTOR 28AWG, SHIELDED FLEXIBLE",,,,,,A,,,,,,No,
12020-0711-01_-_MfgBOMReport.xls,0,Cable and Wire,12020-0711-01,0,"CABLE, NINE CONDUCTOR, 20 AWG (19/32)",,,,,,A,,,,,,No,
12020-0711-02_-_MfgBOMReport.xls,0,Cable and Wire,12020-0711-02,0,"CABLE, TEN CONDUCTOR, 20 AWG (19/32)",,,,,,A,,,,,,No,
12020-0711-03_-_MfgBOMReport.xls,0,Cable and Wire,12020-0711-03,0,"CABLE, NINETEEN CONDUCTOR, 20 AWG (19/32)",,,,,,A,,,,,,No,
12020-1462-01_-_MfgBOMReport.xls,0,Cable and Wire,12020-1462-01,0,"CABLE ASSY, 18 CONDUCTOR CONTROL",multi,18,,mil-w-22759/18 mil-w-22759/32,Estane 58370,c,14-20awg 4-18awg,0.47,,,,No,
12023-1302-01_-_MfgBOMReport.xls,0,Cable and Wire,12023-1302-01,0,"CABLE, CONTROL",,,,,,A,,,,,,No,
12025-2970-01_A_MfgBOMReport.xls,0,Cable and Wire,12025-2970-01,A        C25614,"WIRE, FIELD",,,,,,A,,,,,,No,
12053-1566-01_C_MfgBOMReport.xls,0,Cable and Wire,12053-1566-01,C        C34463,"CABLE, 32 CONDUCTOR, HVM VAU
",,,,,,A,,,,,,No,
12064-5011-05_-_MfgBOMReport.xls,0,Cable and Wire,12064-5011-05,0,"WIRE, COILED",,,,,,A,,,,,,No,
12064-5011-10_-_MfgBOMReport.xls,0,Cable and Wire,12064-5011-10,0,"WIRE, COILED",,,,,,A,,,,,,No,
W-0944_F_MfgBOMReport.xls,0,Cable and Wire,W-0944,F        C42764,"COAX CABLE 50 OHM RD-178 DBLSHLD .092"" OD",,,,,,A,,,,,,No,
W-1898_G_MfgBOMReport.xls,0,Cable and Wire,W-1898,G        C18326,CABLE 22 AWG 19 COND SHLD NPRN,,,,,,A,,,,,,No,
W10-0003-000_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-000,F        C10514,WIRE PVC 28 AWG Black 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,Black,7/36,No,
W10-0003-111_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-111,F        C10514,WIRE PVC 28 AWG BRN 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,Brown,7/36,No,
W10-0003-222_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-222,F        C10514,WIRE PVC 28 AWG RED 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,Red,7/36,No,
W10-0003-333_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-333,F        C10514,WIRE PVC 28 AWG ORN 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,Orange,7/36,No,
W10-0003-444_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-444,F        C10514,WIRE PVC 28 AWG YEL 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,Yellow,7/36,No,
W10-0003-555_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-555,F        C10514,WIRE PVC 28 AWG Green 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,Green,7/36,No,
W10-0003-666_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-666,F        C10514,WIRE PVC 28 AWG Blue 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,Blue,7/36,No,
W10-0003-999_F_MfgBOMReport.xls,0,Cable and Wire,W10-0003-999,F        C10514,WIRE PVC 28 AWG White 105 DEG,Hook up,1,,Irradiated PVC,,A,28,,1000,White,7/36,No,
W10-0004-000_F_MfgBOMReport.xls,0,Cable and Wire,W10-0004-000,F        C24481,WIRE #26 BLACK        PVC,Hook up,1,,Irradiated PVC,,A,26,,1000,Black,7/34,No,
W10-0004-111_F_MfgBOMReport.xls,0,Cable and Wire,W10-0004-111,F        C24481,WIRE #26 BROWN        PVC,Hook up,1,,Irradiated PVC,,A,26,,1000,Brown,7/34,No,
W10-0004-222_F_MfgBOMReport.xls,0,Cable and Wire,W10-0004-222,F        C24481,WIRE #26 RED          PVC,Hook up,1,,Irradiated PVC,,A,26,,1000,Red,7/34,No,
W10-0004-333_F_MfgBOMReport.xls,0,Cable and Wire,W10-0004-333,F        C24481,WIRE #26 ORANGE       PVC,Hook up,1,,Irradiated PVC,,A,26,,1000,Orange,7/34,No,
W10-0004-444_F_MfgBOMReport.xls,0,Cable and Wire,W10-0004-444,F        C24481,WIRE #26 YELLOW       PVC,Hook up,1,,Irradiated PVC,,A,26,,1000,Yellow,7/34,No,
W10-0004-555_F_MfgBOMReport.xls,0,Cable and Wire,W10-0004-555,F        C24481,WIRE #26 GREEN        PVC,Hook up,1,,Irradiated PVC,,A,26,,1000,Green,7/34,No,
W10-0004-999_F_MfgBOMReport.xls,0,Cable and Wire,W10-0004-999,F        C24481,WIRE #26 WHITE        PVC,Hook up,1,,Irradiated PVC,,A,26,,1000,White,7/34,No,
W10-0005-000_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-000,J        C25184,WIRE #24 BLACK        PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Black,7/32,No,
W10-0005-111_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-111,J        C25184,WIRE #24 BROWN        PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Brown,7/32,No,
W10-0005-222_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-222,J        C25184,WIRE #24 RED          PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Red,7/32,No,
W10-0005-333_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-333,J        C25184,WIRE #24 ORANGE       PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Orange,7/32,No,
W10-0005-444_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-444,J        C25184,WIRE #24 YELLOW       PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Yellow,7/32,No,
W10-0005-666_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-666,J        C25184,WIRE #24 BlueE         PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Blue,7/32,No,
W10-0005-777_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-777,J        C25184,WIRE #24 VIOLET       PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Violet,7/32,No,
W10-0005-888_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-888,J        C25184,WIRE #24 GRAY         PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,Grey,7/32,No,
W10-0005-901_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-901,J        C25184,WIRE #24 White/Black/BRN  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Brown,7/32,No,
W10-0005-902_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-902,J        C25184,WIRE #24 White/Black/RED  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Red,7/32,No,
W10-0005-903_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-903,J        C25184,WIRE #24 White/Black/Orange  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Orange,7/32,No,
W10-0005-904_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-904,J        C25184,WIRE #24 White/Black/YEL  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Yellow,7/32,No,
W10-0005-905_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-905,J        C25184,WIRE #24 White/Black/Green  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Green,7/32,No,
W10-0005-906_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-906,J        C25184,WIRE #24 White/Black/Blue  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Blue,7/32,No,
W10-0005-907_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-907,J        C25184,WIRE #24 White/Black/VIO  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Violet,7/32,No,
W10-0005-908_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-908,J        C25184,WIRE #24 White/Black/GRA  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black/Grey,7/32,No,
W10-0005-909_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-909,J        C25184,WIRE #24 WHITE/BLACK  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Black,7/32,No,
W10-0005-913_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-913,J        C25184,WIRE #24 White/BRN/Orange  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Brown/Orange,7/32,No,
W10-0005-914_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-914,J        C25184,WIRE #24 White/BRN/YEL  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Brown/Yellow,7/32,No,
W10-0005-917_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-917,J        C25184,WIRE #24 White/BRN/VIO  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Brown/Violet,7/32,No,
W10-0005-918_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-918,J        C25184,WIRE #24 White/BRN/GRA  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Brown/Grey,7/32,No,
W10-0005-919_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-919,J        C25184,WIRE #24 WHITE/BROWN  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Brown,7/32,No,
W10-0005-923_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-923,J        C25184,WIRE #24 White/RED/Orange  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Red/Orange,7/32,No,
W10-0005-925_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-925,J        C25184,WIRE #24 White/RED/Green  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Red/Green,7/32,No,
W10-0005-927_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-927,J        C25184,WIRE #24 White/RED/VIO  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Red/Violet,7/32,No,
W10-0005-928_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-928,J        C25184,WIRE #24 White/RED/GRA  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Red/Grey,7/32,No,
W10-0005-929_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-929,J        C25184,WIRE #24 WHITE/RED    PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Red,7/32,No,
W10-0005-934_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-934,J        C25184,WIRE #24 White/Orange/YEL  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Orange/Yellow,7/32,No,
W10-0005-935_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-935,J        C25184,WIRE #24 White/Orange/Green  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Orange/Green,7/32,No,
W10-0005-939_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-939,J        C25184,WIRE #24 WHITE/ORANGE PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Orange,7/32,No,
W10-0005-949_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-949,J        C25184,WIRE #24 WHITE/YELLOW PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Yellow,7/32,No,
W10-0005-959_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-959,J        C25184,WIRE #24 WHITE/GREEN  PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Green,7/32,No,
W10-0005-969_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-969,J        C25184,WIRE #24 WHITE/BlueE   PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White/Blue,7/32,No,
W10-0005-999_J_MfgBOMReport.xls,0,Cable and Wire,W10-0005-999,J        C25184,WIRE #24 WHITE        PVC,Hook up,1,,Irradiated PVC,,A,24,,1000,White,7/32,No,
W10-0006-000_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-000,K        C05540,WIRE #22 Black          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Black,7/30,No,
W10-0006-111_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-111,K        C05540,WIRE #22 BRN          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Brown,7/30,No,
W10-0006-222_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-222,K        C05540,WIRE #22 RED          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Red,7/30,No,
W10-0006-333_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-333,K        C05540,WIRE #22 ORN          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Orange,7/30,No,
W10-0006-444_L_MfgBOMReport.xls,0,Cable and Wire,W10-0006-444,L        C05540,WIRE STRANDED 22 AWG YEL IRPVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Yellow,7/30,No,
W10-0006-555_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-555,K        C05540,WIRE #22 Green          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Green,7/30,No,
W10-0006-666_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-666,K        C05540,WIRE #22 Blue          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Blue,7/30,No,
W10-0006-777_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-777,K        C05540,WIRE #22 VIO          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Violet,7/30,No,
W10-0006-888_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-888,K        C05540,WIRE #22 GRY          PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,Grey,7/30,No,
W10-0006-902_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-902,K        C05540,WIRE #22 White/Black/RED  PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Black/Red,7/30,No,
W10-0006-903_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-903,K        C05540,WIRE #22 White/Black/ORN  PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Black/Orange,7/30,No,
W10-0006-904_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-904,K        C05540,WIRE #22 White/Black/YEL  PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Black/Yellow,7/30,No,
W10-0006-909_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-909,K        C05540,WIRE #22 White/Black      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Black,7/30,No,
W10-0006-912_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-912,K        C05540,WIRE #22 White/BRN/RED  PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Brown/Red,7/30,No,
W10-0006-919_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-919,K        C05540,WIRE #22 White/BRN      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Brown,7/30,No,
W10-0006-923_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-923,K        C05540,WIRE #22 White/RED/ORN  PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Red/Orange,7/30,No,
W10-0006-924_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-924,K        C05540,WIRE #22 White/RED/YEL  PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Red/Yellow,7/30,No,
W10-0006-925_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-925,K        C05540,WIRE #22 White/RED/Green  PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Red/Green,7/30,No,
W10-0006-929_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-929,K        C05540,WIRE #22 White/RED      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Red,7/30,No,
W10-0006-939_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-939,K        C05540,WIRE #22 White/ORN      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Orange,7/30,No,
W10-0006-949_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-949,K        C05540,WIRE #22 White/YEL      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Yellow,7/30,No,
W10-0006-959_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-959,K        C05540,WIRE #22 White/Green      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Green,7/30,No,
W10-0006-969_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-969,K        C05540,WIRE #22 White/Blue      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Blue,7/30,No,
